ranking_popularity,Channel,Watch time (mins),Stream time (mins),Peak viewers,Average viewers,Followers,Followers gained,Partnered,Mature,Language,Esport_channel
1.0,THEGREFG,625107360.0,5280.0,1745462.0,118391.0,11092064.0,558757.0,True,False,Spanish,
2.0,KINGSLEAGUE,500071575.0,2115.0,792033.0,236440.0,1858868.0,580828.0,True,False,Spanish,
3.0,IBAI,391200285.0,5655.0,289137.0,69177.0,12520523.0,259482.0,True,False,Spanish,
4.0,PAULINHOLOKOBR,595767150.0,6060.0,266793.0,98311.0,1975600.0,274200.0,True,False,Portuguese,
5.0,ELSPREEN,513756015.0,5025.0,217043.0,102240.0,6762095.0,527453.0,True,False,Spanish,
6.0,LOUD_CORINGA,448001520.0,9375.0,205471.0,47786.0,3936972.0,180550.0,True,False,Portuguese,
7.0,SHADOUNE666,57765045.0,10905.0,192874.0,5297.0,1119316.0,301862.0,True,False,Spanish,
8.0,AURONPLAY,530178165.0,5565.0,186375.0,95270.0,14708241.0,296731.0,True,False,Spanish,
9.0,LEC,391096965.0,7920.0,178644.0,49380.0,1877067.0,66919.0,True,False,English,Yes
10.0,KAICENAT,984794655.0,13530.0,170617.0,72786.0,4150128.0,507701.0,True,False,English,
11.0,CALL OF DUTY (CALLOFDUTY),276635265.0,5310.0,162194.0,52097.0,1613947.0,103142.0,True,False,English,
12.0,BLASTPREMIER,332054250.0,5550.0,157701.0,59829.0,1510901.0,56414.0,True,False,English,Yes
13.0,AMINEMATUE,101731455.0,2250.0,153299.0,45213.0,1926020.0,51300.0,True,False,French,
14.0,ESL_CSGO,270992805.0,37245.0,148471.0,7275.0,5869723.0,31164.0,True,False,English,Yes
15.0,JAHREIN,271150485.0,11040.0,147761.0,24560.0,1829761.0,67737.0,True,False,Turkish,
16.0,SCUMP,211783725.0,5235.0,137881.0,40455.0,1410960.0,51479.0,True,False,English,
17.0,CASIMITO,144139140.0,7200.0,131175.0,20019.0,3489369.0,49264.0,True,True,Portuguese,
18.0,XQC,838445100.0,14400.0,126238.0,58225.0,11563980.0,73707.0,True,False,English,
19.0,EVELONE192,69225465.0,1125.0,125644.0,61533.0,2311788.0,35867.0,False,True,Russian,
20.0,LCK,246447975.0,6510.0,122815.0,37856.0,1595736.0,88331.0,True,False,English,Yes
21.0,AVALANCHESOFTWARE,7061895.0,75.0,116571.0,94158.0,138897.0,29276.0,False,False,English,
22.0,PLAYAPEX,92068035.0,1890.0,113265.0,48713.0,985812.0,49280.0,True,False,English,Yes
23.0,BIYIN_,51685800.0,4785.0,112381.0,10801.0,3081143.0,72353.0,True,False,Spanish,
24.0,CSGO_MC,90860850.0,9675.0,112277.0,9391.0,1201528.0,6465.0,True,False,Russian,Yes
25.0,JUANSGUARNIZO,150830085.0,5295.0,111090.0,28485.0,9894116.0,240602.0,True,False,Spanish,
26.0,ELRAENN,194555745.0,6255.0,110428.0,31104.0,3882842.0,108406.0,True,True,Turkish,
27.0,ADINROSS,155748645.0,2220.0,107778.0,70157.0,7218651.0,-1794.0,True,False,English,
28.0,TARIK,317720490.0,11010.0,105837.0,28857.0,2466719.0,49645.0,True,False,English,
29.0,NIX,158910600.0,4815.0,105464.0,33003.0,437214.0,29765.0,True,True,Russian,
30.0,LCS,113860575.0,4095.0,105454.0,27804.0,1897954.0,21489.0,True,False,English,Yes
31.0,ILLOJUAN,315555135.0,6795.0,104283.0,46439.0,2982696.0,151396.0,True,False,Spanish,
32.0,ELIASN97,372415905.0,10770.0,102266.0,34579.0,1415416.0,63668.0,True,False,German,
33.0,HJUNE,279297600.0,15750.0,99231.0,17733.0,690531.0,118707.0,True,True,English,
34.0,ELMARIANA,151489905.0,3330.0,93945.0,45492.0,6630809.0,303265.0,True,False,Spanish,
35.0,OTPLOL_,414881220.0,42435.0,90698.0,9776.0,629099.0,13374.0,True,False,French,Yes
36.0,GAMESDONEQUICK,469838730.0,17610.0,85637.0,26680.0,1968234.0,18529.0,True,False,English,
37.0,ESL_CSGOB,131111280.0,7380.0,85145.0,17765.0,1091484.0,34603.0,True,False,English,Yes
38.0,QUACKITYTOO,101339400.0,2175.0,85070.0,46592.0,3615952.0,255694.0,True,False,Spanish,
39.0,RUBIUS,180120510.0,5850.0,84494.0,30789.0,13505937.0,148199.0,True,False,Spanish,
40.0,RIVERS_GG,116433150.0,5910.0,83656.0,19701.0,2812139.0,365059.0,True,False,Spanish,
41.0,HYPE,106174380.0,6435.0,83333.0,16499.0,659626.0,54361.0,True,True,Turkish,
42.0,HASANABI,441396390.0,14115.0,82098.0,31271.0,2427641.0,82328.0,True,False,English,
43.0,GAULES,422618235.0,41700.0,81634.0,10134.0,3822517.0,17127.0,True,True,Portuguese,Yes
44.0,CBLOL,144993630.0,4800.0,80742.0,30207.0,1541578.0,16950.0,True,False,Portuguese,Yes
45.0,AMAR,59704125.0,18540.0,79738.0,3220.0,1526445.0,31048.0,True,False,German,
46.0,RAINBOW6,90309690.0,4560.0,77878.0,19804.0,2461321.0,48694.0,True,True,English,Yes
47.0,BTSSMASH,67697670.0,31830.0,77642.0,2126.0,400884.0,10353.0,True,False,English,Yes
48.0,WTCN,44956320.0,4560.0,77211.0,9858.0,2834735.0,23525.0,True,True,Turkish,
49.0,BETHESDA,8009700.0,690.0,75555.0,11608.0,685208.0,10816.0,True,True,Spanish,
50.0,Y4SPLZ,26654280.0,4470.0,75511.0,5962.0,45175.0,12772.0,False,False,English,
51.0,ROCKETLEAGUE,88582095.0,2190.0,75188.0,40448.0,3868303.0,64417.0,True,False,English,Yes
52.0,PGL_DOTA2,235672425.0,12060.0,74804.0,19541.0,397735.0,18230.0,True,False,English,Yes
53.0,加藤純一です (KATO_JUNICHI0817),184552920.0,8070.0,73681.0,22869.0,713041.0,16325.0,False,False,Japanese,
54.0,KENDINEMUZISYEN,97107195.0,5955.0,71983.0,16306.0,2548417.0,52202.0,True,False,Turkish,
55.0,KAMET0,159104025.0,12405.0,71424.0,12825.0,1551246.0,14925.0,True,False,French,
56.0,NINTENDO,4339140.0,330.0,71107.0,13148.0,611997.0,5203.0,True,False,English,
57.0,RELOG_RU,99448275.0,5235.0,70359.0,18996.0,92810.0,90765.0,True,False,Russian,
58.0,REBEUDETER,38111745.0,885.0,69912.0,43064.0,1150912.0,47853.0,True,False,French,
59.0,TRYMACS,146958330.0,9855.0,67664.0,14912.0,3279035.0,28378.0,True,False,German,
60.0,TENDERLYBAE,6832575.0,645.0,63914.0,10593.0,1250869.0,40098.0,True,False,Russian,
61.0,BAIANO,145958670.0,10455.0,62999.0,13960.0,812225.0,15759.0,True,True,Portuguese,
62.0,WARFRAME,14280570.0,615.0,62747.0,23220.0,1810128.0,9621.0,True,False,English,
63.0,REBORN_LIVE,67880475.0,8925.0,62536.0,7605.0,2434475.0,82362.0,True,False,Spanish,
64.0,HLTVORG,11071725.0,645.0,62295.0,17165.0,169620.0,15767.0,True,False,English,Yes
65.0,SONYSANDIEGOSTUDIO,2696040.0,75.0,62134.0,35947.0,145882.0,1789.0,True,False,English,
66.0,SODAPOPPIN,76948950.0,4845.0,60759.0,15882.0,8827646.0,1828.0,True,True,English,
67.0,WHOPLOHOYPAREN,36822420.0,2805.0,60561.0,13127.0,853943.0,37976.0,True,False,Russian,
68.0,ROBLEIS,181961940.0,20340.0,60540.0,8946.0,5053600.0,256433.0,True,False,Spanish,
69.0,LUQUET4,190074720.0,7395.0,59900.0,25703.0,1210945.0,138674.0,True,False,Portuguese,
70.0,N3KOGLAI,73973760.0,2655.0,59878.0,27862.0,2502764.0,80654.0,True,True,Russian,
71.0,だるまいずごっど (DARUMAISGOD),50879670.0,1395.0,59587.0,36472.0,543749.0,15205.0,True,False,Japanese,
72.0,SMITEGAME,90978090.0,28020.0,58471.0,3246.0,693801.0,8385.0,True,False,English,Yes
73.0,WESTCOL,90027240.0,4410.0,58026.0,20414.0,1135820.0,47517.0,True,False,Spanish,
74.0,DOMINGO,66812265.0,4860.0,57929.0,13747.0,1578821.0,10059.0,True,False,French,
75.0,LVPES,158215965.0,17355.0,57823.0,9116.0,1052899.0,11766.0,True,False,Spanish,Yes
76.0,SPURSITO,13516260.0,1710.0,57683.0,7904.0,1204950.0,19329.0,True,False,Spanish,
