input_text,number
['THEGREFG'],22833.0
['KINGSLEAGUE'],22941.0
['IBAI'],14954.0
['PAULINHOLOKOBR'],13417.0
['ELSPREEN'],20148.0
['LOUD_CORINGA'],11649.0
['SHADOUNE666'],3350.0
['AURONPLAY'],24578.0
['LEC'],1161.0
['KAICENAT'],33262.0
['CALL OF DUTY (CALLOFDUTY)'],0.0
['BLASTPREMIER'],3926.0
['AMINEMATUE'],6712.0
['ESL_CSGO'],3519.0
['JAHREIN'],6346.0
['SCUMP'],1834.0
['CASIMITO'],4615.0
['XQC'],21807.0
['EVELONE192'],0.0
['LCK'],7279.0
['AVALANCHESOFTWARE'],767.0
['PLAYAPEX'],5623.0
['BIYIN_'],4051.0
['CSGO_MC'],3878.0
['JUANSGUARNIZO'],11702.0
['ELRAENN'],9182.0
['ADINROSS'],4629.0
['TARIK'],5537.0
['NIX'],4520.0
['LCS'],5232.0
['ILLOJUAN'],6136.0
['ELIASN97'],2363.0
['HJUNE'],4612.0
['ELMARIANA'],9213.0
['OTPLOL_'],3583.0
['GAMESDONEQUICK'],1524.0
['ESL_CSGOB'],1581.0
['QUACKITYTOO'],8714.0
['RUBIUS'],15779.0
['RIVERS_GG'],5491.0
['HYPE'],3551.0
['HASANABI'],7102.0
['GAULES'],6082.0
['CBLOL'],1135.0
['AMAR'],2373.0
['RAINBOW6'],3044.0
['BTSSMASH'],1628.0
['WTCN'],3093.0
['BETHESDA'],973.0
['Y4SPLZ'],4001.0
['ROCKETLEAGUE'],6757.0
['PGL_DOTA2'],3628.0
['加藤純一です (KATO_JUNICHI0817)'],0.0
['KENDINEMUZISYEN'],3064.0
['KAMET0'],2459.0
['NINTENDO'],992.0
['RELOG_RU'],2845.0
['REBEUDETER'],2437.0
['TRYMACS'],4592.0
['TENDERLYBAE'],1709.0
['BAIANO'],407.0
['WARFRAME'],3463.0
['REBORN_LIVE'],3831.0
['HLTVORG'],499.0
['SONYSANDIEGOSTUDIO'],738.0
['SODAPOPPIN'],6822.0
['WHOPLOHOYPAREN'],1618.0
['ROBLEIS'],5437.0
['LUQUET4'],4912.0
['N3KOGLAI'],9784.0
['だるまいずごっど (DARUMAISGOD)'],0.0
['SMITEGAME'],387.0
['WESTCOL'],3752.0
['DOMINGO'],1330.0
['LVPES'],579.0
['SPURSITO'],1241.0
['SYPHERPK'],3678.0
['ELXOKAS'],7681.0
['TISISCHUBECH'],167.0
['FPS_SHAKA'],1458.0
['MISSASINFONIA'],3861.0
['ALANZOKA'],7606.0
['TELEFE'],715.0
['PARAGON_DOTA'],1285.0
['GERARDROMERO'],1388.0
['EASPORTSFIFA'],3086.0
['ROIER'],3705.0
['HONDADREAMLAB'],1538.0
['JONVLOGS'],2477.0
['ARIGAMEPLAYS'],5757.0
['VALORANT_JPN'],3278.0
['SPYGEA'],1310.0
['FEXTRALIFE'],8703.0
['K4SEN'],2111.0
['SARDOCHE'],1862.0
['BUSTER'],4661.0
['우왁굳 (WOOWAKGOOD)'],0.0
['SIMURGH'],466.0
['NABRIZARP'],1219.0
['LEVO'],1369.0
['GOTAGA'],4451.0
['ZACKRAWRR'],1559.0
['SINATRAA'],1892.0
['NILOJEDA'],2297.0
['ALEXELCAPO'],1434.0
['GRONKH'],882.0
['CASTRO_1021'],2363.0
['NICKMERCS'],7283.0
['CSGO_MC2'],1974.0
['SQUEEZIE'],6330.0
['ZANOXVII'],2846.0
['GMHIKARU'],1103.0
['LIRIK'],2321.0
['JRKZ'],1067.0
['PSG'],848.0
['BETBOOM_RU'],386.0
['MONTANABLACK88'],6576.0
['QUACKITY'],4046.0
['GAMERBROTHER'],258.0
['ELZEEIN'],1411.0
['MAXIMEBIAGGI'],1279.0
['ANITTAMEDIACENTER'],4.0
['한동숙 (HANDONGSUK)'],0.0
['FELIPENETO'],491.0
['REVEDTV'],1863.0
['CHESS'],4311.0
['LLA'],816.0
['JHDELACRUZ777'],1103.0
['TEKKEN'],1014.0
['CAROLA'],2122.0
['SLAKUN10'],3432.0
['RESTIAFPS'],952.0
