index,duracion,Nivel de ruido (dB),movimiento,Gold_Blue,Gold_Red,Emocion
0,00:05,2.685375432,12.66536564,2.7,2.6,0
1,00:10,2.702501615,11.06219907,2.8,2.7,0
2,00:15,2.715389839,6.713299672,3,2.8,1
3,00:20,2.744718985,4.545940683,3.1,3,0
4,00:25,2.754088009,5.133531057,3.2,3.1,0
5,00:30,2.749763118,10.01244907,3.3,3.2,1
6,00:35,2.774759213,10.30665828,3.5,3.4,0
7,00:40,2.790273579,5.29994512,3.554120879,3.454120879,0
8,00:45,2.816678976,7.689209201,3.6,3.5,0
9,00:50,2.846347211,5.664736786,3.7,3.6,0
10,00:55,2.849202113,5.26758314,3.9,3.8,0
11,01:00,2.871436015,6.643005787,4,3.8,0
12,01:05,2.862632023,6.717290606,4,4,1
13,01:10,2.858536962,17.66743692,4,4.2,1
14,01:15,2.842572272,12.84596933,4,4.3,1
15,01:20,2.76643563,7.509377797,4.177194149,4.4,1
16,01:25,2.724615323,22.21441223,4.580851064,4.5,1
17,01:30,2.695451832,6.843296875,5.019082447,4.6,0
18,01:35,2.701434246,7.35129157,5.3,4.694281046,0
19,01:40,2.686479756,3.299413387,5.4,4.781699346,0
20,01:45,2.680493727,3.603298225,5.6,4.869117647,0
21,01:50,2.6723509,7.217449363,5.8,4.963398693,0
22,01:55,2.66035489,1.993315586,5.9,5.071405229,0
23,02:00,2.626382117,5.065388407,6,5.2,0
24,02:05,2.607146204,5.977008488,6.1,5.415294118,0
25,02:10,2.61837885,6.703668306,6.3,5.6,0
26,02:15,2.599252221,10.54376302,6.4,5.67,1
27,02:20,2.591490369,7.709798418,6.6,5.7,1
28,02:25,2.558638286,4.403731289,6.642633543,5.7,0
29,02:30,2.54921375,5.080599537,6.664246064,5.820652174,0
30,02:35,2.54164816,2.188379437,6.7,6,0
31,02:40,2.516155877,5.05266956,6.8,6.1,0
32,02:45,2.460391671,2.335543885,6.9,6.3,0
33,02:50,2.456936302,4.794454186,7.1,6.4,0
34,02:55,2.423227175,17.95490548,7.1,6.5,0
35,03:00,2.38419137,7.22282745,7.206451613,6.6,0
36,03:05,2.398259394,1.54569811,7.4,6.7,0
37,03:10,2.395637768,4.553365066,7.6,6.8,0
38,03:15,2.382093075,8.44861304,7.681945896,6.8,0
39,03:20,2.366233751,6.882556906,7.735608963,7,0
40,03:25,2.352275001,25.55373003,7.8,7.1,0
41,03:30,2.402262704,16.16143171,7.9,7.1,0
42,03:35,2.407212643,8.297513407,8,7.3,0
43,03:40,2.419267901,3.992009259,8.090384615,7.5,0
44,03:45,2.457923908,9.102184992,8.2,7.6,0
45,03:50,2.491447993,14.65577739,8.4,7.7,0
46,03:55,2.505832165,2.522684896,8.5,7.8,0
47,04:00,2.576007872,7.738480999,8.6,7.890384615,0
48,04:05,2.563123555,19.80139767,8.8,8,0
49,04:10,2.520634414,5.867961227,8.9,8.2,0
50,04:15,2.472834361,5.755815008,9.05,8.3,0
51,04:20,2.501593569,3.883040702,9.2,8.4,0
52,04:25,2.476717998,3.108076485,9.3,8.5,0
53,04:30,2.301856191,19.55273167,9.4,8.591666667,0
54,04:35,2.480326538,8.216579765,9.55,8.7,0
55,04:40,2.516628544,7.228902392,9.7,8.9,0
56,04:45,2.382040887,4.735300154,9.8,9.1,0
57,04:50,2.517230591,9.035126157,9.9,9.220833333,1
58,04:55,2.64987502,9.084124132,10,9.3,1
