0,Nivel de ruido (dB),Duración (MM:SS)
5.0,0.6013596629914082,00:05
10.0,1.3967420154784804,00:10
15.0,0.6671537222837491,00:15
20.0,1.1118439332275096,00:20
25.0,1.3868342788313306,00:25
30.0,0.5973896318264055,00:30
35.0,2.2247652077803473,00:35
40.0,1.9992294762562282,00:40
45.0,0.41810073069054443,00:45
50.0,1.0753303364155595,00:50
55.0,1.4417169832835959,00:55
60.0,1.2608427843929246,01:00
65.0,1.3372113897355762,01:05
70.0,1.16487375985797,01:10
75.0,3.286652201653644,01:15
80.0,2.7441145214622353,01:20
85.0,4.278413911094761,01:25
90.0,4.279226458327314,01:30
95.0,3.824040709718143,01:35
100.0,2.718082356446649,01:40
105.0,2.075075894275222,01:45
110.0,2.6506707472803166,01:50
115.0,2.141051144988309,01:55
120.0,2.635827163515188,02:00
125.0,3.01773761659127,02:05
130.0,3.4005942455669813,02:10
135.0,2.168608231902551,02:15
140.0,2.385370912705413,02:20
145.0,2.6974011555821735,02:25
150.0,1.915684407083589,02:30
155.0,3.2208762364766255,02:35
160.0,2.048491910887344,02:40
165.0,2.616685250503191,02:45
170.0,3.1062845803439156,02:50
175.0,2.920619222205874,02:55
180.0,1.4978032916913344,03:00
185.0,3.2903626260019028,03:05
190.0,2.699773056147124,03:10
195.0,1.829762385625946,03:15
200.0,1.997530145405169,03:20
205.0,1.7194396724317207,03:25
210.0,2.4906917867802036,03:30
215.0,1.8156613534329893,03:35
220.0,1.16711346351873,03:40
225.0,1.8349949150862852,03:45
230.0,1.9766390380822083,03:50
235.0,1.3519330237932183,03:55
240.0,1.3633298934586593,04:00
245.0,1.6941626001728811,04:05
250.0,0.6825037015899076,04:10
255.0,2.8849274920468875,04:15
260.0,2.536042637559406,04:20
265.0,2.3976981295427184,04:25
270.0,1.7820551651785574,04:30
275.0,2.4703888391310795,04:35
280.0,2.2972719869622407,04:40
285.0,1.5310306775182756,04:45
290.0,2.119027660749865,04:50
295.0,1.8210807411571261,04:55
300.0,1.9693084894779926,05:00
305.0,1.8923208880841926,05:05
310.0,1.5951360314154996,05:10
315.0,2.6754247389928754,05:15
320.0,2.715158531067319,05:20
325.0,2.984534531847096,05:25
330.0,2.4326164063888265,05:30
335.0,3.2892446712874417,05:35
340.0,2.95407960293107,05:40
345.0,2.6738605136455917,05:45
350.0,4.486448393732292,05:50
355.0,3.6953694563841992,05:55
360.0,2.434183207618635,06:00
365.0,3.0185691770173086,06:05
370.0,2.8349826754932512,06:10
375.0,3.37558885814663,06:15
380.0,4.176578445827181,06:20
385.0,3.1303706129335502,06:25
390.0,3.6002375552157124,06:30
395.0,2.856601544516835,06:35
400.0,2.9766970303264104,06:40
405.0,2.9523367513942538,06:45
410.0,3.058871759576711,06:50
415.0,2.4787712590705206,06:55
420.0,1.9761269497917067,07:00
425.0,2.8110928917508633,07:05
430.0,2.544897493147235,07:10
435.0,2.3609251524569994,07:15
440.0,3.1495139518338244,07:20
445.0,2.5035112130805133,07:25
450.0,2.0784465664264293,07:30
455.0,1.700397600981252,07:35
460.0,1.8829085123240186,07:40
465.0,2.1524522736367473,07:45
470.0,1.8043522457490366,07:50
475.0,2.23404683387923,07:55
480.0,2.1176218764482204,08:00
485.0,1.2120651315217899,08:05
490.0,2.157542843475242,08:10
495.0,2.7990752978674087,08:15
500.0,2.6705858192394336,08:20
505.0,3.291022240661495,08:25
510.0,1.6199305271942477,08:30
515.0,1.306959281720367,08:35
520.0,0.5955613281345696,08:40
525.0,3.7356344447832255,08:45
530.0,4.2399872010800275,08:50
535.0,2.6041288716163042,08:55
540.0,1.3951659365926385,09:00
545.0,1.9859547736123409,09:05
550.0,2.219841114837945,09:10
555.0,1.119795585766361,09:15
560.0,2.2899697149652254,09:20
565.0,1.3864910646312665,09:25
570.0,0.8888392360878928,09:30
575.0,1.3108011853441397,09:35
580.0,1.871690468562359,09:40
585.0,2.2040118548062164,09:45
590.0,2.5091259844778566,09:50
595.0,2.3262685594641845,09:55
600.0,2.4663228699645425,10:00
605.0,2.7282507273313246,10:05
610.0,1.6992473689615224,10:10
615.0,1.6742519215688607,10:15
620.0,2.51524140928793,10:20
625.0,3.7728506145309,10:25
630.0,2.3659605323005297,10:30
635.0,1.0897999411676276,10:35
640.0,0.3432091063084305,10:40
645.0,0.9644241418083581,10:45
650.0,1.6888632312169403,10:50
655.0,2.1663550244578484,10:55
660.0,2.0423455731396434,11:00
665.0,2.987475579021235,11:05
670.0,2.589587414618972,11:10
675.0,2.508514744854238,11:15
680.0,2.6060807469441185,11:20
685.0,3.30762359710456,11:25
690.0,1.4028690927033165,11:30
695.0,3.0382860142101102,11:35
700.0,1.9813764754100596,11:40
705.0,1.64364293046418,11:45
710.0,1.6862217085285023,11:50
715.0,2.3059340328847195,11:55
720.0,0.6163362651636932,12:00
725.0,1.531786134194335,12:05
730.0,0.6103608661509463,12:10
735.0,1.0619602508074422,12:15
740.0,0.40414220858547506,12:20
745.0,2.1957283694146073,12:25
750.0,2.663621227734485,12:30
755.0,2.4226136757998815,12:35
760.0,3.2296676412626697,12:40
765.0,2.1073023092194068,12:45
770.0,2.171800668524206,12:50
775.0,2.2468080775974473,12:55
780.0,2.739528548282836,13:00
785.0,2.7514549952666787,13:05
790.0,2.1021937294177735,13:10
795.0,2.9014386219513315,13:15
800.0,4.039975910374384,13:20
805.0,3.3599599962995947,13:25
810.0,2.2823130802737293,13:30
815.0,2.0784687107525848,13:35
820.0,1.6635658768969717,13:40
825.0,3.7295742415588045,13:45
830.0,4.088555390748316,13:50
835.0,4.404071427767492,13:55
840.0,4.78207519409314,14:00
845.0,5.163968711277114,14:05
850.0,4.4314142877311316,14:10
855.0,2.8028683733800905,14:15
860.0,3.6662990716239863,14:20
865.0,3.296129367860539,14:25
870.0,3.2204563808012283,14:30
875.0,2.2119248429527065,14:35
880.0,2.031251798340099,14:40
885.0,2.639265398318036,14:45
890.0,1.6505100001726258,14:50
895.0,2.6057771320820033,14:55
900.0,2.3983627193923036,15:00
905.0,2.869806669046457,15:05
910.0,3.453690225830254,15:10
915.0,3.5331620470444562,15:15
920.0,3.326264401297036,15:20
925.0,2.370452556256048,15:25
930.0,2.1352750874198247,15:30
935.0,1.1166714801881419,15:35
940.0,2.2073580789274865,15:40
945.0,0.843198940137163,15:45
950.0,2.368396501638794,15:50
955.0,3.375820898898171,15:55
960.0,4.423141268699347,16:00
965.0,4.812097937733476,16:05
970.0,4.710366922840279,16:10
975.0,4.355006854129943,16:15
980.0,3.9228608741853725,16:20
985.0,3.723136402804908,16:25
990.0,3.3241552467134827,16:30
995.0,2.879931583523989,16:35
1000.0,1.9021608817988436,16:40
1005.0,2.2974609700446855,16:45
1010.0,2.359983721356146,16:50
1015.0,2.6921610719659506,16:55
1020.0,3.0544127556236793,17:00
1025.0,2.937422618610352,17:05
1030.0,2.598763410904274,17:10
1035.0,2.5566236032464724,17:15
1040.0,1.495555215457497,17:20
1045.0,3.315498144947239,17:25
1050.0,2.671160940584798,17:30
1055.0,2.3653804460168586,17:35
1060.0,1.5836896378391894,17:40
1065.0,2.62730515100367,17:45
1070.0,2.444781951740795,17:50
1075.0,2.3334815572205665,17:55
1080.0,2.0320605415926756,18:00
1085.0,2.023967976764112,18:05
1090.0,1.9232214046599512,18:10
1095.0,2.7153564367643495,18:15
1100.0,1.8441025787759457,18:20
1105.0,3.9566445724280124,18:25
1110.0,4.378711206391915,18:30
1115.0,4.070773984610246,18:35
1120.0,3.6451841999361205,18:40
1125.0,3.148971583202653,18:45
1130.0,2.9371969364755586,18:50
1135.0,2.8180576577278504,18:55
1140.0,2.8974689025679523,19:00
1145.0,2.6143684416460724,19:05
1150.0,2.672697334955264,19:10
1155.0,2.995492840087973,19:15
1160.0,2.8803194973510586,19:20
1165.0,3.104171127081697,19:25
1170.0,3.275576924106214,19:30
1175.0,2.5657123572292493,19:35
1180.0,2.626890567697608,19:40
1185.0,1.5354268488864875,19:45
1190.0,1.7798327255324653,19:50
1195.0,1.5181925012173858,19:55
1200.0,1.1528167095954942,20:00
1205.0,1.7169795053668533,20:05
1210.0,2.603652410721919,20:10
1215.0,1.6886864312678227,20:15
1220.0,1.8353417246267145,20:20
1225.0,1.194987644994851,20:25
1230.0,1.7486245295132232,20:30
1235.0,2.5181363773603738,20:35
1240.0,1.9872936682576914,20:40
1245.0,1.7562378506988083,20:45
1250.0,1.6105464444141524,20:50
1255.0,2.0921462362377348,20:55
1260.0,2.4398421686221954,21:00
1265.0,3.007498132084951,21:05
