intervalo,movimiento,segundos,duracion,Emocion
"(0.0, 150.0]",5.556363426,5,00:05,0
"(150.0, 300.0]",6.489754919,10,00:10,0
"(300.0, 450.0]",10.99700781,15,00:15,0
"(450.0, 600.0]",10.96605922,20,00:20,0
"(600.0, 750.0]",6.791949267,25,00:25,0
"(750.0, 900.0]",8.862592882,30,00:30,0
"(900.0, 1050.0]",4.516062789,35,00:35,0
"(1050.0, 1200.0]",12.09749875,40,00:40,0
"(1200.0, 1350.0]",8.338217978,45,00:45,0
"(1350.0, 1500.0]",6.687171682,50,00:50,0
"(1500.0, 1650.0]",6.992778164,55,00:55,0
"(1650.0, 1800.0]",5.445328897,60,01:00,0
"(1800.0, 1950.0]",5.207756848,65,01:05,0
"(1950.0, 2100.0]",6.366206501,70,01:10,0
"(2100.0, 2250.0]",9.707513214,75,01:15,1
"(2250.0, 2400.0]",17.88578067,80,01:20,1
"(2400.0, 2550.0]",14.46531279,85,01:25,1
"(2550.0, 2700.0]",11.07953848,90,01:30,0
"(2700.0, 2850.0]",19.8169728,95,01:35,0
"(2850.0, 3000.0]",6.125281346,100,01:40,0
"(3000.0, 3150.0]",5.347213252,105,01:45,0
"(3150.0, 3300.0]",3.487613619,110,01:50,0
"(3300.0, 3450.0]",6.550368248,115,01:55,0
"(3450.0, 3600.0]",3.996280575,120,02:00,0
"(3600.0, 3750.0]",2.082206501,125,02:05,0
"(3750.0, 3900.0]",6.38852392,130,02:10,1
"(3900.0, 4050.0]",5.269450714,135,02:15,0
"(4050.0, 4200.0]",7.384589796,140,02:20,0
"(4200.0, 4350.0]",10.46225878,145,02:25,1
"(4350.0, 4500.0]",7.800599537,150,02:30,1
"(4500.0, 4650.0]",4.931664255,155,02:35,0
"(4650.0, 4800.0]",3.779981481,160,02:40,0
"(4800.0, 4950.0]",5.290387539,165,02:45,0
"(4950.0, 5100.0]",3.045392265,170,02:50,0
"(5100.0, 5250.0]",2.272982639,175,02:55,0
"(5250.0, 5400.0]",10.48667824,180,03:00,0
"(5400.0, 5550.0]",15.98207417,185,03:05,0
"(5550.0, 5700.0]",3.507886381,190,03:10,0
"(5700.0, 5850.0]",1.510125675,195,03:15,0
"(5850.0, 6000.0]",6.551199556,200,03:20,0
"(6000.0, 6150.0]",6.707375579,205,03:25,0
"(6150.0, 6300.0]",13.94128549,210,03:30,0
"(6300.0, 6450.0]",23.67466271,215,03:35,0
"(6450.0, 6600.0]",10.49371074,220,03:40,0
"(6600.0, 6750.0]",8.578788966,225,03:45,0
"(6750.0, 6900.0]",3.046643326,230,03:50,0
"(6900.0, 7050.0]",16.93884394,235,03:55,0
"(7050.0, 7200.0]",6.786654803,240,04:00,0
"(7200.0, 7350.0]",2.78321711,245,04:05,0
"(7350.0, 7500.0]",12.10015336,250,04:10,0
"(7500.0, 7650.0]",15.88259105,255,04:15,0
"(7650.0, 7800.0]",5.245188657,260,04:20,0
"(7800.0, 7950.0]",5.659565297,265,04:25,0
"(7950.0, 8100.0]",3.842554205,270,04:30,0
"(8100.0, 8250.0]",3.349090181,275,04:35,0
"(8250.0, 8400.0]",23.00452855,280,04:40,0
"(8400.0, 8550.0]",5.402612461,285,04:45,0
"(8550.0, 8700.0]",7.828680363,290,04:50,0
"(8700.0, 8850.0]",4.06584809,295,04:55,0
"(8850.0, 9000.0]",10.53520891,300,05:00,1
"(9000.0, 9150.0]",10.66537336,305,05:05,1
"(9150.0, 9300.0]",3.69735735,310,05:10,1
"(9300.0, 9450.0]",3.077162326,315,05:15,1
"(9450.0, 9600.0]",18.54014786,320,05:20,1
"(9600.0, 9750.0]",14.57532909,325,05:25,1
"(9750.0, 9900.0]",5.393310667,330,05:30,0
"(9900.0, 10050.0]",1.277000386,335,05:35,0
"(10050.0, 10200.0]",8.673149788,340,05:40,1
"(10200.0, 10350.0]",23.38334423,345,05:45,1
"(10350.0, 10500.0]",26.67310002,350,05:50,0
"(10500.0, 10650.0]",25.13209462,355,05:55,0
"(10650.0, 10800.0]",33.1788941,360,06:00,1
"(10800.0, 10950.0]",22.24777932,365,06:05,1
"(10950.0, 11100.0]",18.09950878,370,06:10,1
"(11100.0, 11250.0]",17.45591088,375,06:15,1
"(11250.0, 11400.0]",6.650049769,380,06:20,1
"(11400.0, 11550.0]",11.65077488,385,06:25,0
"(11550.0, 11700.0]",15.8879265,390,06:30,0
"(11700.0, 11850.0]",16.0433778,395,06:35,0
"(11850.0, 12000.0]",4.471180363,400,06:40,0
"(12000.0, 12150.0]",9.020647955,405,06:45,0
"(12150.0, 12300.0]",22.68424055,410,06:50,0
"(12300.0, 12450.0]",38.21064651,415,06:55,0
"(12450.0, 12600.0]",20.0313994,420,07:00,0
"(12600.0, 12750.0]",29.46221827,425,07:05,0
"(12750.0, 12900.0]",11.68118567,430,07:10,0
"(12900.0, 13050.0]",10.51154697,435,07:15,0
"(13050.0, 13200.0]",39.92800559,440,07:20,0
"(13200.0, 13350.0]",26.87576206,445,07:25,0
"(13350.0, 13500.0]",6.837289159,450,07:30,0
"(13500.0, 13650.0]",2.96645081,455,07:35,0
"(13650.0, 13800.0]",1.921364005,460,07:40,0
"(13800.0, 13950.0]",5.032619792,465,07:45,0
"(13950.0, 14100.0]",1.863475791,470,07:50,0
"(14100.0, 14250.0]",1.509519001,475,07:55,0
"(14250.0, 14400.0]",8.76378858,480,08:00,0
"(14400.0, 14550.0]",7.215444059,485,08:05,0
"(14550.0, 14700.0]",6.777828511,490,08:10,0
"(14700.0, 14850.0]",8.985372299,495,08:15,0
"(14850.0, 15000.0]",5.405001447,500,08:20,0
"(15000.0, 15150.0]",3.658603974,505,08:25,0
