,ROI_1,ROI_2,ROI_3,ROI_4,ROI_5,ROI_6,Duration
0,NA,NA,NA,NA,2.5K,NA,0
1,NA,NA,NA,NA,2.5%,.,1
2,NA,NA,NA,NA,NA,NA,2
3,NA,NA,NA,NA,7.8K,NA,3
4,NA,NA,NA,NA,2.6K,NA,4
5,NA,24h,NA,NA,2.6K,NA,5
6,NA,aah,NA,NA,2.1K,NA,6
7,NA,NA,NA,NA,2.1K,NA,7
8,NA,NA,NA,NA,2.7K,NA,8
9,NA,NA,NA,NA,2.7K,NA,9
10,NA,NA,NA,NA,2.7K,NA,10
11,NA,NA,NA,NA,NA,NA,11
12,NA,NA,NA,.,NA,NA,12
13,NA,NA,NA,NA,2.8K,NA,13
14,NA,NA,NA,NA,2.8K,NA,14
15,NA,NA,NA,NA,2.9K,NA,15
16,NA,NA,NA,NA,2.9K,NA,16
17,NA,NA,NA,NA,2.9K,NA,17
18,NA,Sk.,NA,NA,NA,NA,18
19,NA,3h.,NA,NA,2.0K,NA,19
20,NA,3k,NA,NA,3.0K,NA,20
21,NA,3k,NA,NA,2.0K,NA,21
22,NA,J,NA,NA,3.0K,NA,22
23,NA,NA,NA,NA,NA,NA,23
24,NA,NA,NA,NA,NA,NA,24
25,NA,NA,NA,NA,NA,NA,25
26,NA,NA,NA,NA,NA,NA,26
27,NA,Jah,NA,NA,NA,NA,27
28,NA,NA,0,NA,NA,NA,28
29,NA,Jak,NA,NA,NA,NA,29
30,NA,NA,NA,NA,3.2K,NA,30
31,7,Jah,NA,NA,3.2K,NA,31
32,NA,3A,NA,NA,NA,NA,32
33,NA,OAR,NA,NA,NA,NA,33
34,NA,NA,NA,NA,NA,NA,34
35,NA,NA,NA,NA,3.4K,NA,35
36,NA,NA,NA,NA,3.4K,NA,36
37,NA,JSR,NA,NA,NA,NA,37
38,NA,JOR,NA,NA,NA,NA,38
39,NA,JOR,NA,NA,NA,NA,39
40,NA,JOR,NA,.,NA,NA,40
41,NA,3h,NA,NA,NA,NA,41
42,NA,JOR,NA,NA,NA,NA,42
43,NA,NA,NA,NA,NA,NA,43
44,NA,JOR,NA,NA,3.5K,4,44
45,NA,3.OR,NA,NA,3.5K,NA,45
46,NA,NA,NA,NA,NA,NA,46
47,NA,Sak,NA,NA,3.8K,NA,47
48,NA,NA,NA,NA,3.6K,NA,48
49,NA,NA,NA,NA,NA,NA,49
50,NA,eat,NA,NA,NA,NA,50
51,NA,Sh,NA,NA,3.1K,NA,51
52,NA,Pm),NA,NA,3.7K,NA,52
53,NA,SSR,NA,NA,3.7K,NA,53
54,NA,NA,NA,NA,3.1K,NA,54
55,NA,NA,NA,NA,NA,NA,55
56,NA,NA,NA,NA,NA,NA,56
57,NA,NA,NA,NA,3.9K,NA,57
58,NA,San,NA,NA,NA,NA,58
59,NA,NA,NA,NA,NA,NA,59
60,NA,NA,NA,NA,NA,NA,60
61,NA,NA,NA,NA,NA,NA,61
62,NA,NA,NA,NA,3.9K,NA,62
63,NA,NA,NA,NA,NA,NA,63
64,NA,NA,NA,NA,NA,NA,64
65,NA,4k,NA,NA,NA,NA,65
66,NA,NA,NA,NA,NA,NA,66
67,NA,NA,NA,NA,NA,NA,67
68,NA,NA,NA,NA,NA,NA,68
69,NA,Sah,NA,NA,4.1K,NA,69
70,NA,NA,NA,NA,4.2K,NA,70
71,NA,Gah,NA,NA,4.2K,NA,71
72,NA,NA,NA,NA,4.2K,NA,72
73,NA,NA,NA,NA,4.2K,NA,73
74,NA,GAR,NA,NA,4.3K,NA,74
75,NA,NA,NA,NA,4.3K,NA,75
76,.,NA,NA,NA,4.3K,NA,76
77,NA,NA,NA,NA,NA,NA,77
78,NA,A) @,NA,NA,4.4K,NA,78
79,NA,NA,NA,NA,4.0K,NA,79
80,NA,NA,NA,NA,aK,NA,80
81,NA,oA,NA,NA,4.4K,NA,81
82,NA,ws,NA,NA,NA,NA,82
83,NA,wid,NA,NA,NA,NA,83
84,NA,oA,NA,NA,NA,NA,84
85,NA,NA,1,NA,NA,NA,85
86,NA,wig,1,NA,NA,NA,86
87,NA,NA,1,NA,NA,NA,87
88,NA,NA,NA,NA,NA,NA,88
89,NA,NA,1,NA,NA,NA,89
90,NA,NA,NA,NA,NA,NA,90
91,NA,Lm),NA,NA,4k,NA,91
92,NA,NA,NA,NA,4K,NA,92
93,NA,mG,NA,NA,NA,NA,93
94,NA,NA,1,NA,4.1K,NA,94
95,1,NA,NA,NA,4.1K,NA,95
96,NA,NA,1,NA,4K,NA,96
97,NA,OaA,NA,NA,4K,NA,97
98,NA,OAR,NA,NA,4K,NA,98
99,NA,NA,NA,NA,NA,NA,99
100,NA,OAR,1,NA,NA,NA,100
101,NA,NA,1,NA,4.8K,NA,101
102,NA,NA,NA,NA,4.8K,NA,102
103,NA,NA,1,NA,4.8K,NA,103
104,NA,oon,1,NA,4.8K,NA,104
105,NA,oO,1,NA,NA,NA,105
106,NA,NA,NA,NA,4.8K,NA,106
107,NA,NA,4,NA,NA,4-,107
108,NA,NA,1,NA,NA,NA,108
