channel,AVG VIEWERS,TIME STREAMED (hours),ALL TIME PEAK VIEWERS,HOURS WATCHED,RANK,FOLLOWERS GAINED,TOTAL FOLLOWERS,TOTAL VIEWS,Esport_channel
LEC,53216,"131.9
hours",400312,7.02M,11,66.9K,1.87M,149M,Yes
BLASTPREMIER,64394,"92.8
hours",270934,5.98M,12,56.4K,1.51M,114M,Yes
CALL OF DUTY,55786,"87.3
hours",225308,4.87M,17,103K,1.61M,63.4M,Yes
GAULES,10743,"707.6
hours",707648,7.60M,18,18.0K,3.82M,405M,Yes
OTPLOL_,10330,"684.3
hours",204072,7.07M,20,12.8K,628K,100.0M,Yes
LCK,41249,"101.8
hours",307586,4.20M,23,84.9K,1.59M,143M,Yes
PGL_DOTA2,22624,"201.8
hours",161982,4.57M,25,21.2K,397K,38.0M,Yes
ESL_CSGO,7720,"622.6
hours",562080,4.81M,32,27.5K,5.87M,770M,Yes
PLAYAPEX,52294,"31
hours",213219,1.62M,40,49.5K,986K,17.8M,Yes
CBLOL,32884,"78.3
hours",281184,2.57M,45,17.2K,1.54M,233M,Yes
ROCKETLEAGUE,45651,"33.8
hours",259144,1.54M,52,61.5K,3.87M,312M,Yes
LCS,29654,"67.4
hours",400429,2.00M,62,21.5K,1.90M,167M,Yes
VALORANT_JPN,28298,"73.1
hours",113833,2.07M,63,24.3K,389K,23.4M,Yes
ESL_CSGOB,20561,"117.6
hours",283277,2.42M,65,33.4K,1.09M,67.0M,Yes
LVPES,10286,"277.3
hours",232608,2.85M,69,11.6K,1.05M,241M,Yes
CHESS,18060,"123.2
hours",139185,2.23M,74,54.6K,939K,348M,Yes
CSGO_MC,10986,"154.9
hours",364816,1.70M,106,6.2K,1.20M,151M,Yes
LPL,14426,"96.2
hours",149720,1.39M,111,21.9K,916K,110M,Yes
EAMADDENNFL,19309,"31.2
hours",97361,603K,140,21.1K,538K,24.2M,Yes
SMITEGAME,3367,"468.7
hours",88784,1.58M,143,8.9K,694K,204M,Yes
LLA,19016,"26.1
hours",302299,497K,159,11.2K,609K,35.0M,Yes
WARCRAFT,14481,"44.6
hours",98596,646K,179,14.5K,714K,82.6M,Yes
ROCKETLEAGUESAM,20498,"13.1
hours",49608,268K,180,19.6K,153K,3.33M,Yes
HLTVORG,19365,"9.8
hours",63144,189K,212,19.8K,169K,8.57M,Yes
EASPORTSFIFA,16842,"19.2
hours",173627,324K,216,31.8K,2.79M,63.1M,Yes
BTSSMASH,2215,"534.6
hours",94269,1.18M,226,10.3K,401K,22.6M,Yes
BRAWLHALLA,12968,"39.3
hours",162409,509K,233,17.1K,1.83M,32.7M,Yes
TEKKEN,13034,"34.3
hours",52686,448K,251,8.5K,225K,28.9M,Yes
CSGO_MC2,7623,"96
hours",94681,731K,273,8.6K,377K,27.9M,Yes
PGL_DOTA2EN2,6867,"113.2
hours",95710,777K,274,7.4K,168K,2.98M,Yes
LOLPACIFICTW,13497,"23.2
hours",165491,312K,291,1.8K,227K,44.9M,Yes
ROCKETLEAGUEAPAC,15185,"11.1
hours",32811,168K,301,15.6K,192K,2.74M,Yes
AUSSIEANTICS,3333,"263
hours",38304,877K,309,20.9K,922K,28.6M,Yes
ESPORTS_RAGE,11053,"33.1
hours",74276,365K,319,6.3K,140K,3.05M,Yes
SOLARYHS,1434,"627.7
hours",20855,900K,352,491,192K,57.1M,Yes
FORTNITE,13742,"7.5
hours",700529,103K,371,9.1K,5.36M,109M,Yes
RIOTGAMESJP,10171,"31.6
hours",96114,322K,372,3.6K,272K,63.5M,Yes
IMLS,3833,"184
hours",43612,705K,375,1.1K,640K,40.1M,Yes
ROCKETLEAGUEMENA,12680,"12.4
hours",38514,157K,376,13.9K,131K,1.22M,Yes
PRIMELEAGUE,5807,"97.1
hours",78016,564K,390,5.0K,204K,24.9M,Yes
SUMMONERSINNLIVE,7206,"61.5
hours",105574,443K,414,2.7K,581K,156M,Yes
CCT_EN,2348,"304.2
hours",47042,714K,431,13.1K,312K,40.7M,Yes
CHALLENGERSLEAGUE,7007,"59.3
hours",187007,415K,437,4.4K,335K,23.0M,Yes
RAINBOW6,7223,"51.9
hours",191703,375K,453,8.4K,2.40M,115M,Yes
SOLARY,5679,"70.9
hours",55973,403K,491,6.2K,687K,191M,Yes
SOLARYFORTNITE,878,"690.3
hours",175009,606K,562,12.8K,2.10M,145M,Yes
RIOT GAMES,6620,"37.5
hours",854781,248K,566,-1.5K,6.55M,"1,339M",Yes
ROCKETLEAGUEOCE,8481,"13.7
hours",16183,116K,587,10.1K,110K,675K,Yes
BTSBRASILTV,818,"716.1
hours",51834,585K,595,1.1K,234K,69.3M,Yes
BEYONDTHESUMMIT,813,"713.2
hours",121131,580K,603,1.7K,1.17M,510M,Yes
CXMMUNITY,8962,"6.2
hours",33876,55.1K,629,360,11.0K,32.9M,Yes
LCKCL,4753,"60.4
hours",18415,287K,667,7.4K,69.6K,5.17M,Yes
ROCKETBAGUETTE,5201,"47
hours",34200,245K,691,8.3K,301K,9.89M,Yes
EASTGEEKSMASH,7618,"12
hours",27100,91.2K,697,4.1K,39.9K,230K,Yes
ALPHACAST,2827,"134.7
hours",52543,381K,706,61,605K,40.9M,Yes
RTP ARENA CS:GO,2030,"211
hours",56288,428K,711,1.8K,212K,34.0M,Yes
VALORANT_BR,5504,"38.7
hours",150096,213K,716,4.9K,538K,16.6M,Yes
MLS,8010,"5.7
hours",63555,45.4K,731,1.4K,42.7K,31.3M,Yes
POLSATGAMES,2949,"112.9
hours",66594,333K,771,2.4K,267K,59.9M,Yes
VALLEAGUE_FR,3123,"101
hours",11734,315K,784,10.1K,113K,8.21M,Yes
RIOTGAMESTURKISH,3869,"67.8
hours",63733,262K,801,2.7K,835K,170M,Yes
COLLEGECARBALL,7115,"5.4
hours",20983,38.6K,842,3.2K,141K,2.11M,Yes
CAPCOMFIGHTERS,3850,"61.4
hours",108815,236K,851,1.1K,397K,175M,Yes
FPSTHAILAND,2219,"143.8
hours",55381,319K,890,1.7K,545K,80.3M,Yes
WORLDOFTANKS,3839,"50.4
hours",43799,193K,953,4.6K,358K,29.3M,Yes
VALORANTLEAGUE_TR,3256,"69.3
hours",163677,226K,960,3.9K,459K,27.3M,Yes
NBA2KLEAGUE,5721,"11.4
hours",194136,65.1K,982,1.2K,205K,192M,Yes
LCO,4402,"30.8
hours",21322,135K,1013,3.5K,38.9K,5.28M,Yes
ESPORTMANIACOS,1884,"147.9
hours",15894,279K,1045,527,168K,30.0M,Yes
LVPES2,1684,"164.7
hours",94398,277K,1080,2.8K,504K,72.3M,Yes
ESL_CSGO_PL,2755,"74.4
hours",45818,205K,1091,2.3K,389K,53.8M,Yes
울프,2164,"92.6
hours",105866,200K,1238,478,436K,29.0M,Yes
WORLDOFWARSHIPS,2799,"51.7
hours",54598,145K,1294,1.4K,283K,24.3M,Yes
LIGUE1UBEREATS,2786,"47.3
hours",14725,132K,1353,14.2K,63.6K,3.31M,Yes
PG_ESPORTS_LOL,878,"257
hours",42169,226K,1481,879,72.4K,5.42M,Yes
NIMBLENEURON,3342,"20.9
hours",25598,69.8K,1499,-345,77.4K,3.17M,Yes
1PVCS,1127,"182.9
hours",23081,206K,1503,604,135K,27.3M,Yes
ELISAESPORTS,1902,"81.7
hours",64088,155K,1517,3.6K,141K,7.93M,Yes
DOTATV247,348,"667.5
hours",6698,232K,1632,381,141K,8.00M,Yes
ESL_CSGO_ES,1643,"88.1
hours",18480,145K,1690,402,290K,24.4M,Yes
HITPOINTCZ,1642,"86.7
hours",12139,142K,1704,1.1K,133K,19.0M,Yes
R6ESPORTSBR,3101,"16.3
hours",87521,50.5K,1713,1.2K,564K,48.4M,Yes
VGBOOTCAMP,1153,"141.9
hours",151180,164K,1777,1.4K,627K,95.2M,Yes
CALL OF DUTY® BRAVO,1724,"71.5
hours",69161,123K,1827,8.9K,157K,6.59M,Yes
LVPARG,2390,"32.8
hours",30757,78.5K,1854,1.7K,141K,7.44M,Yes
99DAMAGE,1141,"121
hours",15942,138K,2035,223,211K,62.3M,Yes
VALORANT_KR,1661,"62.9
hours",32566,104K,2043,4.5K,126K,8.97M,Yes
INYGONTV1,1080,"116.6
hours",12264,126K,2200,927,78.4K,20.3M,Yes
스피릿제로,2010,"30.8
hours",14970,61.8K,2279,177,36.1K,37.0M,Yes
ESL_SC2,220,"720
hours",57127,158K,2482,523,373K,107M,Yes
